Location,Check-in Date,Check-out Date,Hotel Name,Room Type,Price (USD)
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Candlewood Suites: Auburn,1 Queen Studio Suite,113
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Candlewood Suites: Auburn,Studio Suite,113
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Candlewood Suites: Auburn,1 King Studio Suite,123
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Candlewood Suites: Auburn,2 Queen Studio Suite,123
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Auburn - University Area,1 King Bed Standard,142
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Auburn - University Area,2 Queen Beds Standard,151
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Auburn - University Area,Standard Room,165
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Auburn - University Area,1 King Suite Addl Living Area Sofa Bed,175
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Auburn - University Area,1 Queen Bed Suite Addl Living Area,175
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Auburn - University Area,2 Queen Beds Suite Addl Living Area,180
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Auburn - University Area,1 King Bed 1 Bedroom Suite,180
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Auburn - University Area,1 King Bed 1 Bedroom Suite Sofa Bed,199
"Auburn, Alabama, United States",05/25/2024,05/26/2024,avid hotels: Auburn - University Area,1 King Bed Standard,108
"Auburn, Alabama, United States",05/25/2024,05/26/2024,avid hotels: Auburn - University Area,2 Queen Beds Standard,108
"Auburn, Alabama, United States",05/25/2024,05/26/2024,avid hotels: Auburn - University Area,Standard Room,108
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Staybridge Suites: Auburn – University Area,2 Queen Studio Suite Kitchen Area,170
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Staybridge Suites: Auburn – University Area,Studio Suite,180
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Opelika Auburn,2 Queen Standard,156
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Opelika Auburn,1 King Standard Walk In Shower,165
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Opelika Auburn,1 Queen Ste Sofa Bed Living Area Wet Bar,170
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Opelika Auburn,Standard Room,175
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Opelika Auburn,1 King Suite Sofa Bed Living Area,184
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Phenix City - Ft. Moore,2 Queen Standard,142
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Phenix City - Ft. Moore,1 King Standard,151
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Phenix City - Ft. Moore,1 King Suite Additional Living Sofa Bed,170
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Holiday Inn Express & Suites: Phenix City - Ft. Moore,Standard Room,170
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Hotel Indigo: Columbus at Riverfront Place,2 Queen Beds Standard,208
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Hotel Indigo: Columbus at Riverfront Place,Standard Room,208
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Hotel Indigo: Columbus at Riverfront Place,1 King Bed Standard Minifridge,222
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Hotel Indigo: Columbus at Riverfront Place,2 Queen Beds Standard River View,232
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Hotel Indigo: Columbus at Riverfront Place,1 King Bed Standard River View,237
"Auburn, Alabama, United States",05/25/2024,05/26/2024,Hotel Indigo: Columbus at Riverfront Place,1 King Bed Premium,303
