Location,Check-in Date,Check-out Date,Hotel Name,Room Type,Price (USD)
"Baton Rouge, LA, USA",05/26/2024,05/27/2024,Candlewood Suites: Baton Rouge - College Drive,1 Queen Bed Studio Suite,104
"Baton Rouge, LA, USA",05/26/2024,05/27/2024,Candlewood Suites: Baton Rouge - College Drive,1 King Bed Studio Suite,108
"Baton Rouge, LA, USA",05/26/2024,05/27/2024,Candlewood Suites: Baton Rouge - College Drive,2 Queen Beds Studio Suite,113
"Baton Rouge, LA, USA",05/26/2024,05/27/2024,Candlewood Suites: Baton Rouge - College Drive,Studio Suite,123
"Baton Rouge, LA, USA",05/26/2024,05/27/2024,Hotel Indigo: Baton Rouge Downtown,2 Double Standard City View,156
"Baton Rouge, LA, USA",05/26/2024,05/27/2024,Hotel Indigo: Baton Rouge Downtown,Standard Room,161
"Baton Rouge, LA, USA",05/26/2024,05/27/2024,Hotel Indigo: Baton Rouge Downtown,2 Double Standard River View,165
"Baton Rouge, LA, USA",05/26/2024,05/27/2024,Hotel Indigo: Baton Rouge Downtown,1 King Standard River View,170
"Baton Rouge, LA, USA",05/26/2024,05/27/2024,Hotel Indigo: Baton Rouge Downtown,1 King Suite,436
"Baton Rouge, LA, USA",05/26/2024,05/27/2024,Crowne Plaza: Executive Center Baton Rouge,2 Queen Standard Hideaway,123
"Baton Rouge, LA, USA",05/26/2024,05/27/2024,Crowne Plaza: Executive Center Baton Rouge,1 King Standard,142
"Baton Rouge, LA, USA",05/26/2024,05/27/2024,Crowne Plaza: Executive Center Baton Rouge,Standard Room,142
"Baton Rouge, LA, USA",05/26/2024,05/27/2024,Crowne Plaza: Executive Center Baton Rouge,2 Queen Standard Pool View,151
"Baton Rouge, LA, USA",05/26/2024,05/27/2024,Crowne Plaza: Executive Center Baton Rouge,2 Queen Premium Pool View Balcony,180
"Baton Rouge, LA, USA",05/26/2024,05/27/2024,Crowne Plaza: Executive Center Baton Rouge,1 King Junior Suite,199
"Baton Rouge, LA, USA",05/26/2024,05/27/2024,Crowne Plaza: Executive Center Baton Rouge,1 Bedroom Suite Balcony,237
"Baton Rouge, LA, USA",05/26/2024,05/27/2024,Crowne Plaza: Executive Center Baton Rouge,1 Bedroom Suite Dining Kitchenette,379
"Baton Rouge, LA, USA",05/26/2024,05/27/2024,Holiday Inn: Baton Rouge College Drive I-10,1 King Standard,132
"Baton Rouge, LA, USA",05/26/2024,05/27/2024,Holiday Inn: Baton Rouge College Drive I-10,2 Queen Standard Non Smoking,132
"Baton Rouge, LA, USA",05/26/2024,05/27/2024,Holiday Inn: Baton Rouge College Drive I-10,2 Queen Standard Top Floor,132
"Baton Rouge, LA, USA",05/26/2024,05/27/2024,Holiday Inn: Baton Rouge College Drive I-10,1 King Standard Top Floor,142
"Baton Rouge, LA, USA",05/26/2024,05/27/2024,Holiday Inn: Baton Rouge College Drive I-10,Standard Room,142
"Baton Rouge, LA, USA",05/26/2024,05/27/2024,Holiday Inn: Baton Rouge College Drive I-10,1 King Premium,170
"Baton Rouge, LA, USA",05/26/2024,05/27/2024,Holiday Inn: Baton Rouge College Drive I-10,1 King 1 Bedroom Suite Top Floor,189
"Baton Rouge, LA, USA",05/26/2024,05/27/2024,Holiday Inn: Baton Rouge-South,1 King Standard,113
"Baton Rouge, LA, USA",05/26/2024,05/27/2024,Holiday Inn: Baton Rouge-South,2 Queen Standard,113
"Baton Rouge, LA, USA",05/26/2024,05/27/2024,Holiday Inn: Baton Rouge-South,Standard Room,123
